H00636,Harpagophytum procumbens,,,,,
H00637,Salvia sclarea,,,,,
H00638,Radix Adenophorae,,,,,
H00639,Celastrus orbiculatus [Syn. Celastrus articulatus ],,,,,
H00640,NA,,,,,
H00641,Flos Rhododendri Mollis,,,,,
H00643,Geranium nepalense,,,,,
H00645,Citrus limon,,,,,
H00646,Lycium barbarum,,,,,
H00647,Arctium lappa,,,,,
H00648,Fructus Arctii lappae,,,,,
H00649,NA,,,,,
H00650,Calculus Bovis,,,,,
H00651,Sonchus arvensis,,,,,
H00652,Radix Achyranthis bidentatae,,,,,
H00653,Fructus Ligustri lucidi,,,,,
H00654,Radix Oryzae Glutinosae,,,,,
H00655,Fructus Ligustri lucidi,,,,,
H00656,Mentha longifolia,,,,,
H00657,Levisticum officinale,,,,,
H00659,nodus nelumbinis rhizomatis,,,,,
H00660,Erica arborea,,,,,
H00661,Nelumbinis rhizomatis Preparata,,,,,
H00662,Asarum europaeum,,,,,
H00663,Glycyrrhiza glabra var. typica,,,,,
H00664,Aesculus hippocastanum,,,,,
H00665,Derris scandens,,,,,
H00666,NA,,,,,
H00667,Herba Eupatorii,,,,,
H00668,NA,,,,,
H00669,Humulus lupulus,,,,,
H00670,Cuscuta lupuliformis,,,,,
H00671,Folium Eriobotryae,,,,,
H00673,Rhizoma Wenyujin Concisum,,,,,
H00675,Fructus Psoraleae Corylifoliae,,,,,
H00676,Camellia sinensis var. assamica,,,,,
H00677,Taraxacum mongolicum,,,,,
H00678,pollen typhae,,,,,
H00681,Vitis vinifera,,,,,
H00682,Aesculus chinensis,,,,,
H00683,radix Peucedani,,,,,
H00684,Radix Moghaniae Philippinensis,,,,,
H00685,Stephania japonica,,,,,
H00686,Senecio scandens,,,,,
H00687,Rhizoma Homalomee occultae,,,,,
H00688,Semen Pharbitidis,,,,,
H00689,Lythrum salicaria,,,,,
H00690,Semen Euryales,,,,,
H00692,Erythrina arborescens,,,,,
H00694,Radix Gentiae macrophyllae,,,,,
H00695,Panax japonicus var. major,,,,,
H00696,Cortex Fraxini,,,,,
H00697,NA,,,,,
H00698,Herba Artemisiae Annuae,,,,,
H00699,Vatica rassak,,,,,
H00700,Pericarpium Citri Reticulatae Viride,,,,,
H00701,Herba Nerviliae,,,,,
H00703,Flemingia strobilifera,,,,,
H00704,herba Dianthi,,,,,
H00705,Rhizoma Bistortae,,,,,
H00706,Genista tinctoria,,,,,
H00707,Lonicera japonica,,,,,
H00708,Panax ginseng,,,,,
H00709,Panax ginseng x P . quinquefolium,,,,,
H00710,Folium Ginseng,,,,,
H00712,Magnolia obovata,,,,,
H00713,Chamaecyparis pisifera,,,,,
H00714,Phellodendron japonicum,,,,,
H00716,Lythrum anceps,,,,,
H00717,Prunus yedoensis,,,,,
H00718,Herba Cistanches,,,,,
H00719,Cortex Cinmomi,,,,,
H00720,Resi oliani,,,,,
H00721,Rhododendron lingii,,,,,
H00722,Heracleum lanatum,,,,,
H00723,Nux Prinsepiae,,,,,
H00724,Rhizoma seu Herba Saururi,,,,,
H00725,Cephalotaxus fortunei,,,,,
H00726,Rhizoma Sparganii,,,,,
H00727,Radix Notoginseng,,,,,
H00728,NA,,,,,
H00729,Erica umbellata,,,,,
H00730,Phellinus igniarius,,,,,
H00731,Herba Taxilli,,,,,
H00732,Ootheca Mantidis,,,,,
H00733,Fructus Mori,,,,,
H00734,Folium Mori,,,,,
H00735,Ramulus Mori,,,,,
H00736,fructus hippophae,,,,,
H00737,Fructus Amomi,,,,,
H00738,Radix Glehniae,,,,,
H00739,Sophora moorcroftiana,,,,,
H00740,Helichrysum arenarium,,,,,
H00741,NA,,,,,
H00742,Semen Astragali Complati,,,,,
H00743,Aconitum monticola,,,,,
